+2020-04-11-00.00.00 AirForce1  N°1.99633 E°79.30124
+2020-04-11-00.00.00 Army1  N°15.69119 E°75.91880
+2020-04-11-00.00.00 Navy1  N°7.77518 E°97.00312
+2020-04-11-00.00.00 AirForce2  N°21.35111 E°90.69003
+2020-04-11-00.00.00 Army2  N°21.30021 E°79.33311
+2020-04-11-00.00.00 Navy2  N°2.06303 E°79.55540
+2020-04-11-00.00.00 AirForce3  N°6.78762 E°83.45531
+2020-04-11-00.00.00 Army3  N°18.13873 E°79.74548
+2020-04-11-00.00.00 Navy3  N°15.95811 E°68.77551
+2020-04-11-00.00.00 AirForce4  N°15.62711 E°86.43417
+2020-04-11-00.00.00 Army4  N°23.88680 E°79.47958
+2020-04-11-00.00.00 Navy4  N°8.57103 E°92.47262
+2020-04-11-00.00.00 AirForce5  N°10.73778 E°85.93353
+2020-04-11-00.00.00 Army5  N°17.08600 E°74.39293
+2020-04-11-00.00.00 Navy5  N°4.39378 E°73.59084
+2020-04-11-00.00.00 AirForce6  N°15.82596 E°73.24075
+2020-04-11-00.00.00 Army6  N°22.87053 E°77.47077
+2020-04-11-00.00.00 Navy6  N°5.37173 E°77.07763
+2020-04-11-00.00.00 AirForce7  N°14.76160 E°75.70746
+2020-04-11-00.00.00 Army7  N°15.13192 E°79.26127
+2020-04-11-00.00.00 Navy7  N°7.89036 E°98.11124
+2020-04-11-00.00.00 AirForce8  N°16.38008 E°80.92552
+2020-04-11-00.00.00 Army8  N°24.34294 E°73.80644
+2020-04-11-00.00.00 Navy8  N°5.13814 E°77.69941
+2020-04-11-00.00.00 AirForce9  N°20.85037 E°77.57094
+2020-04-11-00.00.00 Army9  N°14.09640 E°75.31676
+2020-04-11-00.00.00 Navy9  N°13.93019 E°69.53210
+2020-04-11-00.00.00 AirForce10  N°6.11095 E°73.15870
+2020-04-11-00.00.00 Army10  N°26.25232 E°73.84843
+2020-04-11-00.00.00 Navy10  N°8.62585 E°114.10941
+2020-04-11-00.00.00 AirForce11  N°14.85215 E°68.85675
+2020-04-11-00.00.00 Army11  N°17.72674 E°76.61352
+2020-04-11-00.00.00 Navy11  N°2.22652 E°77.40250
+2020-04-11-00.00.00 AirForce12  N°3.45188 E°81.02411
+2020-04-11-00.00.00 Army12  N°22.22929 E°79.81220
+2020-04-11-00.00.00 Navy12  N°8.40498 E°56.61808
